键,值,上级,省/直辖市/自治区
230109,松北区,哈尔滨市,黑龙江省
230110,香坊区,哈尔滨市,黑龙江省
230111,呼兰区,哈尔滨市,黑龙江省
230112,阿城区,哈尔滨市,黑龙江省
230113,双城区,哈尔滨市,黑龙江省
230123,依兰县,哈尔滨市,黑龙江省
230124,方正县,哈尔滨市,黑龙江省
230125,宾县,哈尔滨市,黑龙江省
230126,巴彦县,哈尔滨市,黑龙江省
230127,木兰县,哈尔滨市,黑龙江省
230128,通河县,哈尔滨市,黑龙江省
230129,延寿县,哈尔滨市,黑龙江省
230183,尚志市,哈尔滨市,黑龙江省
230184,五常市,哈尔滨市,黑龙江省
230200,齐齐哈尔市,黑龙江省,黑龙江省
230202,龙沙区,齐齐哈尔市,黑龙江省
230203,建华区,齐齐哈尔市,黑龙江省
230204,铁锋区,齐齐哈尔市,黑龙江省
230205,昂昂溪区,齐齐哈尔市,黑龙江省
230206,富拉尔基区,齐齐哈尔市,黑龙江省
230207,碾子山区,齐齐哈尔市,黑龙江省
230208,梅里斯达斡尔族区,齐齐哈尔市,黑龙江省
230221,龙江县,齐齐哈尔市,黑龙江省
230223,依安县,齐齐哈尔市,黑龙江省
230224,泰来县,齐齐哈尔市,黑龙江省
230225,甘南县,齐齐哈尔市,黑龙江省
230227,富裕县,齐齐哈尔市,黑龙江省
230229,克山县,齐齐哈尔市,黑龙江省
230230,克东县,齐齐哈尔市,黑龙江省
230231,拜泉县,齐齐哈尔市,黑龙江省
230281,讷河市,齐齐哈尔市,黑龙江省
230300,鸡西市,黑龙江省,黑龙江省
230302,鸡冠区,鸡西市,黑龙江省
230303,恒山区,鸡西市,黑龙江省
230304,滴道区,鸡西市,黑龙江省
230305,梨树区,鸡西市,黑龙江省
230306,城子河区,鸡西市,黑龙江省
230307,麻山区,鸡西市,黑龙江省
230321,鸡东县,鸡西市,黑龙江省
230381,虎林市,鸡西市,黑龙江省
230382,密山市,鸡西市,黑龙江省
230400,鹤岗市,黑龙江省,黑龙江省
230402,向阳区,鹤岗市,黑龙江省
230403,工农区,鹤岗市,黑龙江省
230404,南山区,鹤岗市,黑龙江省
230405,兴安区,鹤岗市,黑龙江省
230406,东山区,鹤岗市,黑龙江省
230407,兴山区,鹤岗市,黑龙江省
230421,萝北县,鹤岗市,黑龙江省
230422,绥滨县,鹤岗市,黑龙江省
230500,双鸭山市,黑龙江省,黑龙江省
230502,尖山区,双鸭山市,黑龙江省
230503,岭东区,双鸭山市,黑龙江省
230505,四方台区,双鸭山市,黑龙江省
230506,宝山区,双鸭山市,黑龙江省
230521,集贤县,双鸭山市,黑龙江省
230522,友谊县,双鸭山市,黑龙江省
230523,宝清县,双鸭山市,黑龙江省
230524,饶河县,双鸭山市,黑龙江省
230600,大庆市,黑龙江省,黑龙江省
230602,萨尔图区,大庆市,黑龙江省
230603,龙凤区,大庆市,黑龙江省
230604,让胡路区,大庆市,黑龙江省
230605,红岗区,大庆市,黑龙江省
230606,大同区,大庆市,黑龙江省
230621,肇州县,大庆市,黑龙江省
230622,肇源县,大庆市,黑龙江省
230623,林甸县,大庆市,黑龙江省
230624,杜尔伯特蒙古族自治县,大庆市,黑龙江省
230700,伊春市,黑龙江省,黑龙江省
230717,伊美区,伊春市,黑龙江省
230718,乌翠区,伊春市,黑龙江省
230719,友好区,伊春市,黑龙江省
230722,嘉荫县,伊春市,黑龙江省
230723,汤旺县,伊春市,黑龙江省
230724,丰林县,伊春市,黑龙江省
230725,大箐山县,伊春市,黑龙江省
230726,南岔县,伊春市,黑龙江省
230751,金林区,伊春市,黑龙江省
230781,铁力市,伊春市,黑龙江省
230800,佳木斯市,黑龙江省,黑龙江省
230803,向阳区,佳木斯市,黑龙江省
230804,前进区,佳木斯市,黑龙江省
230805,东风区,佳木斯市,黑龙江省
230811,郊区,佳木斯市,黑龙江省
230822,桦南县,佳木斯市,黑龙江省
230826,桦川县,佳木斯市,黑龙江省
230828,汤原县,佳木斯市,黑龙江省
230881,同江市,佳木斯市,黑龙江省
230882,富锦市,佳木斯市,黑龙江省
230883,抚远市,佳木斯市,黑龙江省
230900,七台河市,黑龙江省,黑龙江省
230902,新兴区,七台河市,黑龙江省
230903,桃山区,七台河市,黑龙江省
230904,茄子河区,七台河市,黑龙江省
230921,勃利县,七台河市,黑龙江省
231000,牡丹江市,黑龙江省,黑龙江省
231002,东安区,牡丹江市,黑龙江省
231003,阳明区,牡丹江市,黑龙江省
231004,爱民区,牡丹江市,黑龙江省
231005,西安区,牡丹江市,黑龙江省
231025,林口县,牡丹江市,黑龙江省
231081,绥芬河市,牡丹江市,黑龙江省
231083,海林市,牡丹江市,黑龙江省
231084,宁安市,牡丹江市,黑龙江省
231085,穆棱市,牡丹江市,黑龙江省
231086,东宁市,牡丹江市,黑龙江省
231100,黑河市,黑龙江省,黑龙江省
231102,爱辉区,黑河市,黑龙江省
231123,逊克县,黑河市,黑龙江省
231124,孙吴县,黑河市,黑龙江省
231181,北安市,黑河市,黑龙江省
231182,五大连池市,黑河市,黑龙江省
231183,嫩江市,黑河市,黑龙江省
231200,绥化市,黑龙江省,黑龙江省
231202,北林区,绥化市,黑龙江省
231221,望奎县,绥化市,黑龙江省
231222,兰西县,绥化市,黑龙江省
231223,青冈县,绥化市,黑龙江省
231224,庆安县,绥化市,黑龙江省
231225,明水县,绥化市,黑龙江省
231226,绥棱县,绥化市,黑龙江省
231281,安达市,绥化市,黑龙江省
231282,肇东市,绥化市,黑龙江省
231283,海伦市,绥化市,黑龙江省
232700,大兴安岭地区,黑龙江省,黑龙江省
232701,漠河市,大兴安岭地区,黑龙江省
232721,呼玛县,大兴安岭地区,黑龙江省
232722,塔河县,大兴安岭地区,黑龙江省
310000,上海市,中华人民共和国,上海市
310101,黄浦区,上海市,上海市
310104,徐汇区,上海市,上海市
310105,长宁区,上海市,上海市
310106,静安区,上海市,上海市
310107,普陀区,上海市,上海市
310109,虹口区,上海市,上海市
310110,杨浦区,上海市,上海市
310112,闵行区,上海市,上海市
310113,宝山区,上海市,上海市
310114,嘉定区,上海市,上海市
310115,浦东新区,上海市,上海市
310116,金山区,上海市,上海市
310117,松江区,上海市,上海市
310118,青浦区,上海市,上海市
310120,奉贤区,上海市,上海市
310151,崇明区,上海市,上海市
320000,江苏省,中华人民共和国,江苏省
320100,南京市,江苏省,江苏省
320102,玄武区,南京市,江苏省
320104,秦淮区,南京市,江苏省
320105,建邺区,南京市,江苏省
320106,鼓楼区,南京市,江苏省
320111,浦口区,南京市,江苏省
320113,栖霞区,南京市,江苏省
320114,雨花台区,南京市,江苏省
320115,江宁区,南京市,江苏省
320116,六合区,南京市,江苏省
320117,溧水区,南京市,江苏省
320118,高淳区,南京市,江苏省
320200,无锡市,江苏省,江苏省
320205,锡山区,无锡市,江苏省
320206,惠山区,无锡市,江苏省
320211,滨湖区,无锡市,江苏省
320213,梁溪区,无锡市,江苏省
320214,新吴区,无锡市,江苏省
320281,江阴市,无锡市,江苏省
320282,宜兴市,无锡市,江苏省
320300,徐州市,江苏省,江苏省
320302,鼓楼区,徐州市,江苏省
320303,云龙区,徐州市,江苏省
320305,贾汪区,徐州市,江苏省
320311,泉山区,徐州市,江苏省
320312,铜山区,徐州市,江苏省
320321,丰县,徐州市,江苏省
320322,沛县,徐州市,江苏省
320324,睢宁县,徐州市,江苏省
320381,新沂市,徐州市,江苏省
320382,邳州市,徐州市,江苏省
320400,常州市,江苏省,江苏省
320402,天宁区,常州市,江苏省
320404,钟楼区,常州市,江苏省
320411,新北区,常州市,江苏省
320412,武进区,常州市,江苏省
320413,金坛区,常州市,江苏省
320481,溧阳市,常州市,江苏省
320500,苏州市,江苏省,江苏省
320505,虎丘区,苏州市,江苏省
320506,吴中区,苏州市,江苏省
320507,相城区,苏州市,江苏省
320508,姑苏区,苏州市,江苏省
320509,吴江区,苏州市,江苏省
320581,常熟市,苏州市,江苏省
320582,张家港市,苏州市,江苏省
320583,昆山市,苏州市,江苏省
320585,太仓市,苏州市,江苏省
320600,南通市,江苏省,江苏省
320602,崇川区,南通市,江苏省
320611,港闸区,南通市,江苏省
320612,通州区,南通市,江苏省
320623,如东县,南通市,江苏省
320681,启东市,南通市,江苏省
320682,如皋市,南通市,江苏省
320684,海门市,南通市,江苏省
320685,海安市,南通市,江苏省
320700,连云港市,江苏省,江苏省
320703,连云区,连云港市,江苏省
320706,海州区,连云港市,江苏省
320707,赣榆区,连云港市,江苏省
320722,东海县,连云港市,江苏省
320723,灌云县,连云港市,江苏省
320724,灌南县,连云港市,江苏省
320800,淮安市,江苏省,江苏省
320803,淮安区,淮安市,江苏省
320804,淮阴区,淮安市,江苏省
320812,清江浦区,淮安市,江苏省
320813,洪泽区,淮安市,江苏省
320826,涟水县,淮安市,江苏省
320830,盱眙县,淮安市,江苏省
320831,金湖县,淮安市,江苏省
320900,盐城市,江苏省,江苏省
320902,亭湖区,盐城市,江苏省
320903,盐都区,盐城市,江苏省
320904,大丰区,盐城市,江苏省
320921,响水县,盐城市,江苏省
320922,滨海县,盐城市,江苏省
320923,阜宁县,盐城市,江苏省
320924,射阳县,盐城市,江苏省
320925,建湖县,盐城市,江苏省
320981,东台市,盐城市,江苏省
321000,扬州市,江苏省,江苏省
321002,广陵区,扬州市,江苏省
321003,邗江区,扬州市,江苏省
321012,江都区,扬州市,江苏省
321023,宝应县,扬州市,江苏省
321081,仪征市,扬州市,江苏省
321084,高邮市,扬州市,江苏省
321100,镇江市,江苏省,江苏省
321102,京口区,镇江市,江苏省
321111,润州区,镇江市,江苏省
321112,丹徒区,镇江市,江苏省
321181,丹阳市,镇江市,江苏省
321182,扬中市,镇江市,江苏省
321183,句容市,镇江市,江苏省
321200,泰州市,江苏省,江苏省
321202,海陵区,泰州市,江苏省
321203,高港区,泰州市,江苏省
321204,姜堰区,泰州市,江苏省
321281,兴化市,泰州市,江苏省
321282,靖江市,泰州市,江苏省
321283,泰兴市,泰州市,江苏省
321300,宿迁市,江苏省,江苏省
321302,宿城区,宿迁市,江苏省
321311,宿豫区,宿迁市,江苏省
321322,沭阳县,宿迁市,江苏省
321323,泗阳县,宿迁市,江苏省
321324,泗洪县,宿迁市,江苏省
330000,浙江省,中华人民共和国,浙江省
330100,杭州市,浙江省,浙江省
330102,上城区,杭州市,浙江省
330103,下城区,杭州市,浙江省
330104,江干区,杭州市,浙江省
330105,拱墅区,杭州市,浙江省
330106,西湖区,杭州市,浙江省
330108,滨江区,杭州市,浙江省
330109,萧山区,杭州市,浙江省
330110,余杭区,杭州市,浙江省
330111,富阳区,杭州市,浙江省
330112,临安区,杭州市,浙江省
330122,桐庐县,杭州市,浙江省
330127,淳安县,杭州市,浙江省
330182,建德市,杭州市,浙江省
330200,宁波市,浙江省,浙江省
330203,海曙区,宁波市,浙江省
330205,江北区,宁波市,浙江省
330206,北仑区,宁波市,浙江省
330211,镇海区,宁波市,浙江省
330212,鄞州区,宁波市,浙江省
330213,奉化区,宁波市,浙江省
330225,象山县,宁波市,浙江省
330226,宁海县,宁波市,浙江省
330281,余姚市,宁波市,浙江省
330282,慈溪市,宁波市,浙江省
330300,温州市,浙江省,浙江省
330302,鹿城区,温州市,浙江省
330303,龙湾区,温州市,浙江省
330304,瓯海区,温州市,浙江省
330305,洞头区,温州市,浙江省
330324,永嘉县,温州市,浙江省
330326,平阳县,温州市,浙江省
330327,苍南县,温州市,浙江省
330328,文成县,温州市,浙江省
330329,泰顺县,温州市,浙江省
330381,瑞安市,温州市,浙江省
330382,乐清市,温州市,浙江省
330383,龙港市,温州市,浙江省
330400,嘉兴市,浙江省,浙江省
330402,南湖区,嘉兴市,浙江省
330411,秀洲区,嘉兴市,浙江省
330421,嘉善县,嘉兴市,浙江省
330424,海盐县,嘉兴市,浙江省
330481,海宁市,嘉兴市,浙江省
330482,平湖市,嘉兴市,浙江省
330483,桐乡市,嘉兴市,浙江省
330500,湖州市,浙江省,浙江省
330502,吴兴区,湖州市,浙江省
330503,南浔区,湖州市,浙江省
330521,德清县,湖州市,浙江省
330522,长兴县,湖州市,浙江省
330523,安吉县,湖州市,浙江省
330600,绍兴市,浙江省,浙江省
330602,越城区,绍兴市,浙江省
330603,柯桥区,绍兴市,浙江省
330604,上虞区,绍兴市,浙江省
330624,新昌县,绍兴市,浙江省
330681,诸暨市,绍兴市,浙江省
330683,嵊州市,绍兴市,浙江省
330700,金华市,浙江省,浙江省
330702,婺城区,金华市,浙江省
330703,金东区,金华市,浙江省
330723,武义县,金华市,浙江省
330726,浦江县,金华市,浙江省
330727,磐安县,金华市,浙江省
330781,兰溪市,金华市,浙江省
330782,义乌市,金华市,浙江省
330783,东阳市,金华市,浙江省
330784,永康市,金华市,浙江省
330800,衢州市,浙江省,浙江省
330802,柯城区,衢州市,浙江省
330803,衢江区,衢州市,浙江省
330822,常山县,衢州市,浙江省
330824,开化县,衢州市,浙江省
330825,龙游县,衢州市,浙江省
330881,江山市,衢州市,浙江省
330900,舟山市,浙江省,浙江省
330902,定海区,舟山市,浙江省
330903,普陀区,舟山市,浙江省
330921,岱山县,舟山市,浙江省
330922,嵊泗县,舟山市,浙江省
331000,台州市,浙江省,浙江省
331002,椒江区,台州市,浙江省
331003,黄岩区,台州市,浙江省
331004,路桥区,台州市,浙江省
331022,三门县,台州市,浙江省
331023,天台县,台州市,浙江省
331024,仙居县,台州市,浙江省
331081,温岭市,台州市,浙江省
331082,临海市,台州市,浙江省
331083,玉环市,台州市,浙江省
331100,丽水市,浙江省,浙江省
331102,莲都区,丽水市,浙江省
331121,青田县,丽水市,浙江省
331122,缙云县,丽水市,浙江省
331123,遂昌县,丽水市,浙江省
331124,松阳县,丽水市,浙江省
331125,云和县,丽水市,浙江省
331126,庆元县,丽水市,浙江省
331127,景宁畲族自治县,丽水市,浙江省
331181,龙泉市,丽水市,浙江省
340000,安徽省,中华人民共和国,安徽省
340100,合肥市,安徽省,安徽省
340102,瑶海区,合肥市,安徽省
340103,庐阳区,合肥市,安徽省
340104,蜀山区,合肥市,安徽省
340111,包河区,合肥市,安徽省
340121,长丰县,合肥市,安徽省
340122,肥东县,合肥市,安徽省
340123,肥西县,合肥市,安徽省
340124,庐江县,合肥市,安徽省
340181,巢湖市,合肥市,安徽省
340200,芜湖市,安徽省,安徽省
340202,镜湖区,芜湖市,安徽省
340203,弋江区,芜湖市,安徽省
340207,鸠江区,芜湖市,安徽省
340208,三山区,芜湖市,安徽省
340221,芜湖县,芜湖市,安徽省
340222,繁昌县,芜湖市,安徽省
340223,南陵县,芜湖市,安徽省
340281,无为市,芜湖市,安徽省
340300,蚌埠市,安徽省,安徽省
340302,龙子湖区,蚌埠市,安徽省
340303,蚌山区,蚌埠市,安徽省
340304,禹会区,蚌埠市,安徽省
340311,淮上区,蚌埠市,安徽省
340321,怀远县,蚌埠市,安徽省
340322,五河县,蚌埠市,安徽省
340323,固镇县,蚌埠市,安徽省
340400,淮南市,安徽省,安徽省
340402,大通区,淮南市,安徽省
340403,田家庵区,淮南市,安徽省
340404,谢家集区,淮南市,安徽省
340405,八公山区,淮南市,安徽省
340406,潘集区,淮南市,安徽省
340421,凤台县,淮南市,安徽省
340422,寿县,淮南市,安徽省
340500,马鞍山市,安徽省,安徽省
340503,花山区,马鞍山市,安徽省
340504,雨山区,马鞍山市,安徽省
340506,博望区,马鞍山市,安徽省
340521,当涂县,马鞍山市,安徽省
340522,含山县,马鞍山市,安徽省
340523,和县,马鞍山市,安徽省
340600,淮北市,安徽省,安徽省
340602,杜集区,淮北市,安徽省
340603,相山区,淮北市,安徽省
340604,烈山区,淮北市,安徽省
340621,濉溪县,淮北市,安徽省
340700,铜陵市,安徽省,安徽省
340705,铜官区,铜陵市,安徽省
340706,义安区,铜陵市,安徽省
340711,郊区,铜陵市,安徽省
340722,枞阳县,铜陵市,安徽省
340800,安庆市,安徽省,安徽省
340802,迎江区,安庆市,安徽省
340803,大观区,安庆市,安徽省
340811,宜秀区,安庆市,安徽省
340822,怀宁县,安庆市,安徽省
340825,太湖县,安庆市,安徽省
340826,宿松县,安庆市,安徽省
340827,望江县,安庆市,安徽省
340828,岳西县,安庆市,安徽省
340881,桐城市,安庆市,安徽省
340882,潜山市,安庆市,安徽省
341000,黄山市,安徽省,安徽省
341002,屯溪区,黄山市,安徽省
341003,黄山区,黄山市,安徽省
341004,徽州区,黄山市,安徽省
341021,歙县,黄山市,安徽省
341022,休宁县,黄山市,安徽省
341023,黟县,黄山市,安徽省
341024,祁门县,黄山市,安徽省
341100,滁州市,安徽省,安徽省
341102,琅琊区,滁州市,安徽省
341103,南谯区,滁州市,安徽省
341122,来安县,滁州市,安徽省
341124,全椒县,滁州市,安徽省
341125,定远县,滁州市,安徽省
341126,凤阳县,滁州市,安徽省
341181,天长市,滁州市,安徽省
341182,明光市,滁州市,安徽省
341200,阜阳市,安徽省,安徽省
341202,颍州区,阜阳市,安徽省
341203,颍东区,阜阳市,安徽省
341204,颍泉区,阜阳市,安徽省
341221,临泉县,阜阳市,安徽省
341222,太和县,阜阳市,安徽省
341225,阜南县,阜阳市,安徽省
341226,颍上县,阜阳市,安徽省
341282,界首市,阜阳市,安徽省
341300,宿州市,安徽省,安徽省
341302,埇桥区,宿州市,安徽省
341321,砀山县,宿州市,安徽省
341322,萧县,宿州市,安徽省
341323,灵璧县,宿州市,安徽省
341324,泗县,宿州市,安徽省
341500,六安市,安徽省,安徽省
341502,金安区,六安市,安徽省
341503,裕安区,六安市,安徽省
341504,叶集区,六安市,安徽省
341522,霍邱县,六安市,安徽省
341523,舒城县,六安市,安徽省
341524,金寨县,六安市,安徽省
341525,霍山县,六安市,安徽省
341600,亳州市,安徽省,安徽省
341602,谯城区,亳州市,安徽省
341621,涡阳县,亳州市,安徽省
341622,蒙城县,亳州市,安徽省
341623,利辛县,亳州市,安徽省
341700,池州市,亳州市,安徽省
341702,贵池区,亳州市,安徽省
341721,东至县,亳州市,安徽省
341722,石台县,亳州市,安徽省
341723,青阳县,亳州市,安徽省
341800,宣城市,安徽省,安徽省
341802,宣州区,宣城市,安徽省
341821,郎溪县,宣城市,安徽省
341823,泾县,宣城市,安徽省
341824,绩溪县,宣城市,安徽省
341825,旌德县,宣城市,安徽省
341881,宁国市,宣城市,安徽省
341882,广德市,宣城市,安徽省
350000,福建省,中华人民共和国,福建省
350100,福州市,福建省,福建省
350102,鼓楼区,福州市,福建省
350103,台江区,福州市,福建省
350104,仓山区,福州市,福建省
350105,马尾区,福州市,福建省
350111,晋安区,福州市,福建省
350112,长乐区,福州市,福建省
350121,闽侯县,福州市,福建省
350122,连江县,福州市,福建省
350123,罗源县,福州市,福建省
350124,闽清县,福州市,福建省
350125,永泰县,福州市,福建省
350128,平潭县,福州市,福建省
350181,福清市,福州市,福建省
350200,厦门市,福建省,福建省
350203,思明区,厦门市,福建省
350205,海沧区,厦门市,福建省
350206,湖里区,厦门市,福建省
350211,集美区,厦门市,福建省
350212,同安区,厦门市,福建省
350213,翔安区,厦门市,福建省
350300,莆田市,福建省,福建省
350302,城厢区,莆田市,福建省
350303,涵江区,莆田市,福建省
350304,荔城区,莆田市,福建省
350305,秀屿区,莆田市,福建省
350322,仙游县,莆田市,福建省
350400,三明市,福建省,福建省
350402,梅列区,三明市,福建省
350403,三元区,三明市,福建省
350421,明溪县,三明市,福建省
350423,清流县,三明市,福建省
350424,宁化县,三明市,福建省
350425,大田县,三明市,福建省
350426,尤溪县,三明市,福建省
350427,沙县,三明市,福建省
350428,将乐县,三明市,福建省
350429,泰宁县,三明市,福建省
350430,建宁县,三明市,福建省
350481,永安市,三明市,福建省
350500,泉州市,福建省,福建省
350502,鲤城区,泉州市,福建省
350503,丰泽区,泉州市,福建省
350504,洛江区,泉州市,福建省
350505,泉港区,泉州市,福建省
350521,惠安县,泉州市,福建省
350524,安溪县,泉州市,福建省
350525,永春县,泉州市,福建省
350526,德化县,泉州市,福建省
350527,金门县,泉州市,福建省
350581,石狮市,泉州市,福建省
350582,晋江市,泉州市,福建省
350583,南安市,泉州市,福建省
350600,漳州市,福建省,福建省
350602,芗城区,漳州市,福建省
350603,龙文区,漳州市,福建省
350622,云霄县,漳州市,福建省
350623,漳浦县,漳州市,福建省
350624,诏安县,漳州市,福建省
350625,长泰县,漳州市,福建省
350626,东山县,漳州市,福建省
350627,南靖县,漳州市,福建省
350628,平和县,漳州市,福建省
350629,华安县,漳州市,福建省
350681,龙海市,漳州市,福建省
350700,南平市,福建省,福建省
350702,延平区,南平市,福建省
350703,建阳区,南平市,福建省
350721,顺昌县,南平市,福建省
350722,浦城县,南平市,福建省
350723,光泽县,南平市,福建省
350724,松溪县,南平市,福建省
350725,政和县,南平市,福建省
350781,邵武市,南平市,福建省
350782,武夷山市,南平市,福建省
350783,建瓯市,南平市,福建省
350800,龙岩市,福建省,福建省
350802,新罗区,龙岩市,福建省
350803,永定区,龙岩市,福建省
350821,长汀县,龙岩市,福建省
350823,上杭县,龙岩市,福建省
350824,武平县,龙岩市,福建省
350825,连城县,龙岩市,福建省
350881,漳平市,龙岩市,福建省
350900,宁德市,福建省,福建省
350902,蕉城区,宁德市,福建省
350921,霞浦县,宁德市,福建省
350922,古田县,宁德市,福建省
350923,屏南县,宁德市,福建省
350924,寿宁县,宁德市,福建省
350925,周宁县,宁德市,福建省
350926,柘荣县,宁德市,福建省
350981,福安市,宁德市,福建省
350982,福鼎市,宁德市,福建省
360000,江西省,中华人民共和国,江西省
360100,南昌市,江西省,江西省
360102,东湖区,南昌市,江西省
360103,西湖区,南昌市,江西省
360104,青云谱区,南昌市,江西省
360111,青山湖区,南昌市,江西省
360112,新建区,南昌市,江西省
360113,红谷滩区,南昌市,江西省
360121,南昌县,南昌市,江西省
360123,安义县,南昌市,江西省
360124,进贤县,南昌市,江西省
360200,景德镇市,江西省,江西省
360202,昌江区,景德镇市,江西省
360203,珠山区,景德镇市,江西省
360222,浮梁县,景德镇市,江西省
360281,乐平市,景德镇市,江西省
360300,萍乡市,江西省,江西省
360302,安源区,萍乡市,江西省
360313,湘东区,萍乡市,江西省
360321,莲花县,萍乡市,江西省
360322,上栗县,萍乡市,江西省
360323,芦溪县,萍乡市,江西省
360400,九江市,江西省,江西省
360402,濂溪区,九江市,江西省
360403,浔阳区,九江市,江西省
360404,柴桑区,九江市,江西省
360423,武宁县,九江市,江西省
360424,修水县,九江市,江西省
360425,永修县,九江市,江西省
360426,德安县,九江市,江西省
360428,都昌县,九江市,江西省
360429,湖口县,九江市,江西省
360430,彭泽县,九江市,江西省
360481,瑞昌市,九江市,江西省
360482,共青城市,九江市,江西省
360483,庐山市,九江市,江西省
360500,新余市,江西省,江西省
360502,渝水区,新余市,江西省
360521,分宜县,新余市,江西省
360600,鹰潭市,江西省,江西省
360602,月湖区,鹰潭市,江西省
360603,余江区,鹰潭市,江西省
360681,贵溪市,鹰潭市,江西省
360700,赣州市,江西省,江西省
360702,章贡区,赣州市,江西省
360703,南康区,赣州市,江西省
360704,赣县区,赣州市,江西省
360722,信丰县,赣州市,江西省
360723,大余县,赣州市,江西省
360724,上犹县,赣州市,江西省
360725,崇义县,赣州市,江西省
360726,安远县,赣州市,江西省
360727,龙南县,赣州市,江西省
360728,定南县,赣州市,江西省
360729,全南县,赣州市,江西省
360730,宁都县,赣州市,江西省
360731,于都县,赣州市,江西省
360732,兴国县,赣州市,江西省
360733,会昌县,赣州市,江西省
360734,寻乌县,赣州市,江西省
360735,石城县,赣州市,江西省
360781,瑞金市,赣州市,江西省
360800,吉安市,江西省,江西省
360802,吉州区,吉安市,江西省
360803,青原区,吉安市,江西省
360821,吉安县,吉安市,江西省
360822,吉水县,吉安市,江西省
360823,峡江县,吉安市,江西省
360824,新干县,吉安市,江西省
360825,永丰县,吉安市,江西省
360826,泰和县,吉安市,江西省
360827,遂川县,吉安市,江西省
360828,万安县,吉安市,江西省
360829,安福县,吉安市,江西省
360830,永新县,吉安市,江西省
360881,井冈山市,吉安市,江西省
360900,宜春市,江西省,江西省
360902,袁州区,宜春市,江西省
360921,奉新县,宜春市,江西省
360922,万载县,宜春市,江西省
360923,上高县,宜春市,江西省
360924,宜丰县,宜春市,江西省
360925,靖安县,宜春市,江西省
360926,铜鼓县,宜春市,江西省
360981,丰城市,宜春市,江西省
360982,樟树市,宜春市,江西省
360983,高安市,宜春市,江西省
361000,抚州市,江西省,江西省
361002,临川区,抚州市,江西省
361003,东乡区,抚州市,江西省
361021,南城县,抚州市,江西省
361022,黎川县,抚州市,江西省
361023,南丰县,抚州市,江西省
361024,崇仁县,抚州市,江西省
361025,乐安县,抚州市,江西省
361026,宜黄县,抚州市,江西省
361027,金溪县,抚州市,江西省
361028,资溪县,抚州市,江西省
361030,广昌县,抚州市,江西省
361100,上饶市,江西省,江西省
361102,信州区,上饶市,江西省
361103,广丰区,上饶市,江西省
361104,广信区,上饶市,江西省
361123,玉山县,上饶市,江西省
361124,铅山县,上饶市,江西省
361125,横峰县,上饶市,江西省
